"Icon","Perk ID","Name","Description","Type","Craft Mod","Item Class","Exclusive Labels","Exclude Item Class","Is Stackable Ability","Affix","Applied Prefix","Applied Suffix","Category","Channel","Combat Status","Condition Event","Day Phases","Deprecated Perk Id","Display Name","Equip Ability","Exclude From Trading Post","Fishing Water Type","Group Name","Icon Path","Includes","Item Class GSBonus","Item Perk Conflicts Loc Text","Name Priority","Only In Open World","Open World Only Override Game Modes","Scaling Per Gear Score","Scaling Per Gear Score Attributes","Schedule ID","Secondary Effect Display Name","Sorting","Stat Display Text","Territory Id","Tier","Weapon Tag","World Tags","ABABleed","ABACurse","ABADisease","ABAFrostbite","ABAPoison","ABSAcid","ABSArcane","ABSCorruption","ABSFire","ABSIce","ABSLightning","ABSNature","ABSSiege","ABSSlash","ABSStandard","ABSStrike","ABSThrust","ABSVitals Category","AFAAcid","AFABleed","AFABlight","AFACurse","AFADisease","AFAFrostbite","AFAPoison","Additional Damage","Affliction Damage","Affliction Multiplier","Append To Tooltip","Attribute Modifiers","Attribute Placing Mods","BLAArcane","BLACorruption","BLAFire","BLAIce","BLALightning","BLANature","BLASiege","BLASlash","BLAStandard","BLAStrike","BLAThrust","Base Damage Modifier","Base Damage Type","DMGAcid","DMGArcane","DMGCorruption","DMGFire","DMGIce","DMGLightning","DMGNature","DMGSiege","DMGSlash","DMGStandard","DMGStrike","DMGThrust","DMGVitals Category","Damage Percentage","Damage Type","Disable Durability Loss","Durability Mod","Effect Duration Multiplier","Effect Mod Multiplier","Encumbrance","Fall Damage Mod","Fast Travel Encumbrance Mod","Fish Rarity Roll Modifier","Fish Size Roll Modifier","Fishing Line Strength","Gathering Efficiency","Heal Mod","Health Rate","Is Additive Damage","MODConstitution","MODDexterity","MODFocus","MODIntelligence","MODStrength","MP  Final Note Perfect XPBonus","MP  Group XPBonus","MP  Ignore Missed Notes","MP  Opening Notes Perfect","MP  Rake Reduction","MP  Solo XPBonus","Mana Rate","Max Cast Distance","Max Health Mod","Max Mana Mod","Max Mount Stamina","Max Stamina Mod","Mount Bonus Encumbrance Mod","Mount Off Road Dash Speed Mod","Mount On Road Dash Speed Mod","Mount Stamina Rate","Mount Summon Time Mod","Move Speed Mod","Prefer Higher Scaling","RESAcid","RESBlight","RESCurse","RESPoison","Scaling Dexterity","Scaling Focus","Scaling Intelligence","Scaling Strength","Stamina Cost ID","Stamina Cost Multiplier","Stamina Damage Modifier","Stamina Rate","Status Effect","Status ID","Summer Fish Rarity Roll Modifier","Territory Standing Mod","Use Affix Scaling On Base Damage","Use Count Multiplier","Use Weapon Attribute Scaling","WKNAcid","WKNArcane","WKNCorruption","WKNFire","WKNIce","WKNLightning","WKNNature","WKNSiege","WKNSlash","WKNStandard","WKNStrike","WKNThrust","Weapon Effect Type","Weight Multiplier"
"","PerkID_Stat_ArmorArtificer","Artificer Armor Attributes  of the Artificer ","Increases Focus and Dexterity on an armor piece.","Inherent","DEXFOCBonusT1","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorArtificer","","ArtificerSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorArtificer","","1","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","0","1.25","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorArtificer","","0","false","0","","","","","","","","","","","","","","","0"
"","PerkID_Stat_ArmorAssassin","Assassin Armor Attributes  of the Assassin ","Increases Dexterity and Intelligence on an armor piece.","Inherent","DEXINTBonusT1","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorAssassin","","AssassinSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorAssassin","","","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","0","1.25","0","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorAssassin","","0","false","0","","","","","","","","","","","","","","","0"
"","PerkID_Stat_ArmorBarbarian","Barbarian Armor Attributes  of the Barbarian ","Increases Strength and Constitution on an armor piece.","Inherent","STRCONBonusT1","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorBarbarian","","BarbarianSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorBarbarian","","","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","1.25","0","0","0","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorBarbarian","","0","false","0","","","","","","","","","","","","","","","0"
"","PerkID_Stat_ArmorBattlemage","Battlemage Armor Attributes  of the Battlemage ","Increases Intelligence and Strength on an armor piece.","Inherent","","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorBattlemage","","BattlemageSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorBattlemage","","1","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","0","0","0","1.25","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorBattlemage","","0","false","0","","","","","","","","","","","","","","","0"
"","PerkID_Stat_ArmorBrigand","Brigand Armor Attributes  of the Brigand ","Increases Dexterity and Constitution on an armor piece.","Inherent","CONDEXBonusT1","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorBrigand","","BrigandSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorBrigand","","1","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","1.25","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorBrigand","","0","false","0","","","","","","","","","","","","","","","0"
"","PerkID_Stat_ArmorCavalier","Cavalier Armor Attributes  of the Cavalier ","Increases Dexterity and Strength on an armor piece.","Inherent","STRDEXBonusT1","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorCavalier","","CavalierSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorCavalier","","1","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","0","1.25","0","0","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorCavalier","","0","false","0","","","","","","","","","","","","","","","0"
"","PerkID_Stat_ArmorCleric","Cleric Armor Attributes  of the Cleric ","Increases Focus and Constitution on an armor piece.","Inherent","","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorCleric","","ClericSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorCleric","","","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","1.25","0","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorCleric","","0","false","0","","","","","","","","","","","","","","","0"
"","PerkID_Stat_ArmorDruid","Druid Armor Attributes  of the Druid ","Increases Constitution and Intelligence on an armor piece.","Inherent","INTCONBonusT1","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorDruid","","DruidSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorDruid","","1","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","1.25","0","0","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorDruid","","0","false","0","","","","","","","","","","","","","","","0"
"","PerkID_Stat_ArmorDuelist","Duelist Armor Attributes  of the Duelist ","Increases Dexterity and Focus on an armor piece.","Inherent","","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorDuelist","","DuelistSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorDuelist","","","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","0","1.25","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorDuelist","","0","false","0","","","","","","","","","","","","","","","0"
"","PerkID_Stat_ArmorFighter","Fighter Armor Attributes  of the Fighter ","Increases Strength and Dexterity on an armor piece.","Inherent","","EquippableChest, EquippableLegs, EquippableHead, EquippableHands, EquippableFeet, EquippableAmulet, EquippableRing, EquippableToken","Attribute","","","Affix_Stat_ArmorFighter","","FighterSuffix","","1","","OnEquip","","","Perk_Attribute_ArmorFighter","","","","","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/misc/icon_attribute_arrow.webp","","","","","false","","0.018,625:0.03134,700:0.04,720:0.16,725:0.032","","","","Attribute","ui_stat_bonus_multiple_tooltip","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","","0","","","","","","","0","0","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","false","0","","","0","0","0","0","0","0","0","","","false","0","1.25","0","0","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","false","","0","0","0","0","0","0","0","","","0","0","","Affix_Stat_ArmorFighter","","0","false","0","","","","","","","","","","","","","","","0"
