id,name,description,PerkType,icon_url,ConditionText,CompatibleEquipment,ExclusiveLabels,ExclusiveLabel,CraftModItem,GeneratedLabel
perkid_gem_voiddmg4,Abyssal IV,"Convert 50% of damage dealt to Void. If INT is higher, replace weapon scaling with INT, but at 75% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/amethystcutt4.png,,,,,,
perkid_gem_lightningdmg4,Electrified IV,"Convert 50% of damage dealt to Lightning. If INT is higher, replace weapon scaling with INT, but at 75% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/topazcutt4.png,,,,,,
perkid_gem_arcanedmg4,Empowered IV,"Convert 50% of damage dealt to Arcane. If FOC is higher, replace weapon scaling with FOC, but at 65% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/sapphirecutt4.png,,,,,,
perkid_gem_firedmg4,Ignited IV,"Convert 50% of damage dealt to Fire. If INT is higher, replace weapon scaling with INT, but at 75% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/rubycutt4.png,,,,,,
perkid_gem_icedmg4,Frozen IV,"Convert 50% of damage dealt to Ice. If INT is higher, replace weapon scaling with INT, but at 75% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/aquamarinecutt4.png,,,,,,
perkid_gem_naturedmg4,Arboreal IV,"Convert 50% of damage dealt to Nature. If FOC is higher, replace weapon scaling with FOC, but at 65% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/ambercutt4.png,,,,,,
perkid_gem_brashgem4,Brash IV,+20% damage against targets above 70% health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/onyxcutt4.png,,,,,,
perkid_gem_opportunistgem4,Opportunist IV,+16% damage against and +5% healing to targets below 50% Health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/emeraldcutt4.png,,,,,,
perkid_gem_retaliategem4,Retaliate IV,Gain a stack of +8% damage for 5s after blocking or taking a hit (Max 3 stacks). (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/jaspercutt4.png,,,,,,
perkid_gem_exhilarategem4,Exhilarate IV,+20% damage while all of your active weapon abilities are on cooldown. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/moonstonecutt4.png,,,,,,
perkid_gem_cruelgem4,Cruel IV,"+14.000000000000002% damage against targets affected by Crowd Control effects (Slow, Stun, Root). (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/malachitecutt4.png,,,,,,
perkid_gem_gambitgem4,Gambit IV,+12% damage while your Stamina is not full. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/opalcutt4.png,,,,,,
perkid_gem_rallygem4,Rally IV,+15% damage and outgoing healing while at full Health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/diamondcutt4.png,,,,,,
perkid_gem_abyssalward4,Abyssal Ward IV,+6% Void Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/amethystcutt4.png,,,,,,
perkid_gem_fireward4,Fire Ward IV,+6% Fire Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/rubycutt4.png,,,,,,
